frame,object_id,class_name,x_min,x_max,y_min,y_max
21,1,car,560,598,77,107
22,1,car,560,599,77,107
23,1,car,560,600,77,109
24,1,car,564,602,78,111
25,1,car,566,605,81,115
26,1,car,567,608,84,119
27,1,car,569,610,87,121
27,2,car,517,551,91,125
28,1,car,569,611,88,122
28,2,car,517,551,92,125
29,1,car,570,613,90,126
29,2,car,518,552,94,127
30,1,car,571,616,92,128
30,2,car,519,553,97,130
31,1,car,571,620,94,133
31,2,car,520,555,100,134
32,1,car,576,623,97,136
32,2,car,521,556,102,136
33,1,car,579,626,101,140
33,2,car,521,558,105,141
34,1,car,580,627,102,142
34,2,car,521,559,106,143
35,1,car,583,630,103,144
35,2,car,522,560,108,145
36,1,car,586,633,106,148
36,2,car,522,562,112,150
37,1,car,588,637,110,154
37,2,car,522,563,116,155
38,1,car,592,642,114,159
38,2,car,523,565,120,159
39,1,car,594,646,118,163
39,2,car,524,566,124,163
40,1,car,598,650,122,170
40,2,car,524,569,128,170
41,1,car,599,651,123,172
41,2,car,524,570,130,172
42,1,car,602,655,126,177
42,2,car,524,571,133,175
43,1,car,605,660,131,182
43,2,car,525,572,137,181
44,1,car,608,666,135,190
44,2,car,525,575,142,189
44,3,car,507,540,57,83
45,1,car,611,671,141,196
45,2,car,526,577,148,195
45,3,car,507,540,58,84
46,1,car,615,677,146,205
46,2,car,526,580,153,206
46,3,car,508,541,59,86
47,1,car,616,679,148,208
47,2,car,527,581,155,210
47,3,car,509,541,60,87
48,1,car,618,683,153,215
48,2,car,527,583,161,216
48,3,car,510,542,62,89
49,1,car,621,691,159,224
49,2,car,529,586,166,226
49,3,car,509,542,64,89
50,1,car,624,697,166,236
50,2,car,530,589,173,237
50,3,car,511,542,65,91
51,1,car,629,705,174,244
51,2,car,531,592,181,249
51,3,car,512,543,66,94
52,1,car,634,714,182,257
52,2,car,533,597,189,262
52,3,car,510,544,67,95
53,1,car,636,717,185,261
53,2,car,533,599,193,267
53,3,car,510,544,67,96
54,1,car,640,723,192,271
54,2,car,533,601,200,275
54,3,car,511,545,68,98
55,1,car,644,733,201,285
55,2,car,532,603,209,290
55,3,car,513,546,69,100
56,1,car,650,744,212,302
56,2,car,534,608,219,308
56,3,car,513,547,70,102
57,1,car,657,756,224,321
57,2,car,533,614,231,327
57,3,car,514,549,72,106
58,1,car,664,769,236,341
58,2,car,535,620,244,347
58,3,car,515,551,74,108
59,1,car,666,774,241,349
59,2,car,535,622,249,354
59,3,car,515,551,75,109
60,1,car,673,786,250,368
60,2,car,536,626,261,373
60,3,car,515,552,76,112
61,1,car,681,802,264,391
61,2,car,538,634,275,399
61,3,car,514,553,80,113
62,1,car,690,821,281,421
62,2,car,539,642,292,429
62,3,car,516,553,84,116
63,1,car,700,842,300,455
63,2,car,540,651,312,465
63,3,car,517,554,86,120
64,1,car,711,868,320,495
64,2,car,542,662,335,513
64,3,car,518,555,89,124
65,1,car,715,878,329,511
65,2,car,543,666,344,532
65,3,car,518,556,89,125
66,1,car,724,904,349,532
66,2,car,544,676,366,540
66,3,car,519,557,91,126
67,1,car,737,931,376,540
67,2,car,544,685,398,540
67,3,car,518,558,94,130
68,1,car,743,951,408,540
68,2,car,548,688,435,540
68,3,car,519,560,96,134
69,3,car,518,562,99,138
70,3,car,518,564,102,142
71,3,car,518,565,104,144
72,3,car,520,566,106,147
73,3,car,521,567,109,150
74,3,car,522,568,113,155
75,3,car,522,570,116,160
76,3,car,523,572,120,166
77,3,car,523,573,121,168
78,3,car,524,575,126,172
79,3,car,524,577,129,177
80,3,car,524,578,134,184
81,3,car,525,581,138,191
82,3,car,526,584,144,199
83,3,car,526,585,146,202
84,3,car,526,587,150,207
85,3,car,528,590,155,216
86,3,car,528,593,161,227
87,3,car,529,596,167,237
88,3,car,529,600,174,248
89,3,car,529,602,177,253
89,4,car,561,597,66,93
90,3,car,531,604,184,262
90,4,car,563,599,66,96
91,3,car,531,608,192,277
91,4,car,566,601,69,99
92,3,car,532,613,201,290
92,4,car,567,602,71,101
93,3,car,533,618,212,307
93,4,car,568,605,74,104
94,3,car,535,624,223,325
94,4,car,567,607,76,107
95,3,car,535,626,227,332
95,4,car,567,608,77,108
95,5,car,497,537,76,108
96,3,car,537,631,235,348
96,4,car,566,611,78,111
96,5,car,497,537,78,109
97,3,car,538,639,248,369
97,4,car,565,613,78,114
97,5,car,497,538,80,112
98,3,car,540,645,262,394
98,4,car,569,614,80,116
98,5,car,498,538,83,115
99,3,car,542,653,278,424
99,4,car,572,617,84,120
99,5,car,501,539,85,118
100,3,car,543,662,295,457
100,4,car,577,621,86,124
100,5,car,505,540,87,120
101,3,car,543,666,301,470
101,4,car,580,623,88,125
101,5,car,506,540,87,121
102,3,car,545,675,317,503
102,4,car,578,624,89,128
102,5,car,507,541,89,125
103,3,car,548,686,338,530
103,4,car,583,627,91,132
103,5,car,503,542,92,128
104,3,car,548,698,364,540
104,4,car,586,630,94,137
104,5,car,504,543,95,133
105,3,car,525,725,395,540
105,4,car,588,634,98,142
105,5,car,505,545,98,136
105,6,car,492,546,98,140
106,3,car,542,717,430,540
106,4,car,587,638,100,148
106,5,car,508,546,101,139
106,6,car,494,546,102,144
107,3,car,551,713,441,540
107,4,car,587,639,101,150
107,5,car,508,546,102,140
107,6,car,495,547,103,145
107,7,car,680,711,44,68
108,3,car,558,708,475,540
108,4,car,587,643,103,152
108,5,car,509,548,104,144
108,6,car,494,548,105,148
108,7,car,682,714,44,69
109,4,car,594,646,108,157
109,5,car,508,549,108,149
109,7,car,684,718,46,72
110,4,car,599,650,112,162
110,5,car,508,550,111,157
110,7,car,688,722,48,73
111,4,car,604,655,116,167
111,5,car,508,552,114,162
111,7,car,691,726,50,76
112,4,car,608,659,120,173
112,5,car,509,554,119,165
112,7,car,695,731,51,77
113,4,car,609,660,122,175
113,5,car,509,554,120,165
113,7,car,696,732,51,78
114,4,car,610,666,127,181
114,5,car,509,555,123,171
114,7,car,699,735,53,79
115,4,car,614,671,131,188
115,5,car,510,557,127,176
115,7,car,702,739,53,80
116,4,car,618,676,136,194
116,5,car,508,559,132,181
116,7,car,706,744,54,82
117,4,car,621,683,141,202
117,5,car,509,561,137,191
117,7,car,711,749,54,84
118,4,car,626,690,148,212
118,5,car,509,563,142,201
118,7,car,714,754,56,87
119,4,car,628,693,151,216
119,5,car,510,563,144,204
119,7,car,715,756,57,88
120,4,car,631,697,156,222
120,5,car,510,565,149,207
120,7,car,719,760,58,89
121,4,car,635,705,163,234
121,5,car,510,567,154,216
121,7,car,723,765,59,91
122,4,car,640,715,171,245
122,5,car,509,570,161,228
122,7,car,728,770,61,93
123,4,car,645,724,180,260
123,5,car,509,573,169,241
123,7,car,732,776,62,96
124,4,car,651,734,190,274
124,5,car,509,576,177,254
124,7,car,737,782,65,99
125,4,car,653,739,193,280
